Index,FundName
156,江苏海澜教育发展基金会
157,江苏宏大青少年人才发展基金会
158,江苏华夏慈善基金会
161,江苏省扶贫基金会
163,天津市鹤童老年公益基金会
164,天津中国民航大学教育发展基金会
165,天津市宏志教育基金会
166,天津市滨海社会救助基金会
167,天津市妇女儿童发展基金会
169,天津市人口福利基金会
170,刘天华阿炳中国民族音乐基金会
171,南京大学教育发展基金会
172,南京工业大学教育发展基金会
173,南京金鹰国际慈济基金会
174,包头市扶贫基金会
175,科左后旗扶贫助学基金会
176,老牛基金会
177,南京市中小学幼儿教师奖励基金会
178,南京信息大学教育发展基金会
179,南通市爱心帮困基金会
180,内蒙古民族青年文化艺术基金会
181,内蒙古青年创业就业基金会
182,内蒙古云曙碧公益事业基金会
183,内蒙古自治区儿童基金会
185,盐城市扶贫基金会
186,张家港市农联爱心基金会
188,江苏七彩凤凰母语发展基金会
189,江苏沙钢公益基金会
190,江苏省关心下一代基金会
191,江苏中大公益基金会
192,南京新城市慈善基金会
193,扬州市翔宇妇女儿童基金会
197,万科公益基金会
198,广西荣和爱心基金会
199,广西桂嘉汇青少年儿童救助基金会
200,黑龙江省华侨经济文化基金会
201,广西李宁基金会
202,广西国海扶贫助学基金会
203,哈尔滨市老年基金会
204,广西壮族自治区扶贫基金会
205,广西妇女儿童发展基金会
206,海南改革发展研究基金会
207,海南省李惠智教育基金会
209,广东省中山大学教育发展基金会
210,沈阳市职工爱心慈善基金会
211,广东省扶贫基金会
212,深圳市青少年发展基金会
214,辽宁省妇女儿童基金会
215,广州市南山自然科学学术交流基金会
216,吉林师范大学助学基金会
217,广州市职工济难基金会
218,深圳市警察基金会
219,广东省人口基金会
220,广东省合生珠江教育发展基金会
222,广州市振兴粤剧基金会
223,吉林大学教育基金会
224,梅州市希望教育基金会
225,广东省教育基金会
226,陕西省老龄事业发展基金会
227,深圳市绿色基金会
228,延安教科文发展基金会
229,陕西省西安市老龄事业发展基金会
230,深圳市老龄事业发展基金会
231,东莞市东莞理工学院教育发展基金会
232,广东省志愿者事业发展基金会
233,深圳市综研软科学发展基金会
235,广州市禁毒基金会
236,广东省豪爵慈善基金会
238,陕西省红十字基金会
239,陕西妇女儿童发展基金会
240,广东省华美教育慈善基金会
241,青海省雪域仁济慈善基金会
242,广东省东风日产阳光关爱基金会
243,广东省利海绿色基金会
244,广东省绿景慈善基金会
245,宁夏煤炭职工扶贫济困基金会
246,宁夏回族自治区扶贫基金会
248,广东省妇女儿童基金会
249,重庆孤残儿童援助基金会
250,广东省消防救助基金会
252,重庆市法律援助基金会
253,深圳市博时慈善基金会
255,广东省卓越慈善基金会
256,重庆浙商爱心基金会
258,广东省惠民慈善基金会
259,广东省广东外语外贸大学教育发展基金会
260,重庆市妇女儿童基金会
261,重庆宣传文化发展基金会
262,湖南省长郡未来基金会
263,湖南省文化艺术基金会
265,湖南省长沙理工大学教育基金会
266,湖南飞翔公益基金会
267,湖南省中南林业科技大学教育基金会
268,湖南省扶贫基金会
270,湖南省老龄事业发展基金会
271,湖南青年创业就业基金会
272,湖南省妇女儿童发展基金会
273,江西省革命老区爱心基金会
274,河南省宋庆龄基金会
275,中南财经政法大学教育发展基金会
276,武汉大学马克昌法学基金会
277,湖北省青年创业就业基金会
278,湖北省体育基金会
279,四川省国电大渡河爱心帮扶基金会
280,成都市老龄事业发展基金会
281,四川省青年创业就业基金会
282,四川电子科技大学教育发展基金会
283,云南省俊发教育扶贫基金会
284,云南大益爱心基金会
285,云南民族文化发展基金会
287,云南省绿色环境发展基金会
289,云南省扶贫基金会
290,贵州省春晖行动发展基金会
291,贵州省贵阳市生态文明基金会
292,贵州省青年创业就业基金会
293,贵州文化薪火乡村发展基金会
294,北京中国石油大学教育基金会
295,中国经济改革研究基金会
296,北京康盟慈善基金会
297,浙江省人民教育基金会
298,浙江省李书福资助教育基金会
299,浙江千手慈善基金会
300,绍兴市柯桥区中厦慈善基金会
301,杭州市余杭区老年基金会
302,南通市老区扶贫基金会
303,四川省志愿服务基金会
305,芜湖市爱心助学基金会
307,北京民生文化艺术基金会
308,深圳市郑卫宁慈善基金会
309,海门文明村爱心基金会
310,北京利星行慈善基金会
311,广东省茂华慈善基金会
312,黄奕聪慈善基金会
314,中国绿色碳汇基金会
315,江苏省美德基金会
316,上海民生艺术基金会
317,比亚迪慈善基金会
318,张家港市七里庙村利民基金会
319,北京中央民族大学教育基金会
320,神华公益基金会
321,宁夏青年创业就业基金会
322,福建省侨联事业发展基金会
324,建德市老龄事业发展基金会
325,青岛市天泰公益基金会
326,山东省青年创业就业基金会
327,黑龙江省东北林业大学教育发展基金会
329,惠州市协和医疗救助基金会
331,北京京华公益事业基金会
332,福州市人口福利基金会
333,辽宁省青年创业基金会
334,四川成都蓝光助学基金会
335,晋江市陈埭民族中学教育基金会
337,河北省青年就业创业基金会
338,湖北省宜昌一中教育发展基金会
339,深圳壹基金公益基金会
340,北京百度公益基金会
341,泛海公益基金会
343,顶新公益基金会
345,广东省华南农业大学教育发展基金会
347,厦门观音寺慈善基金会
349,阿拉善生态基金会
350,长沙市志愿服务基金会
351,河南省儿童希望救助基金会
352,河南省光彩事业基金会
353,华中科技大学教育发展基金会
354,武汉理工大学教育发展基金会
355,长江大学教育发展基金会
356,中国地质大学（武汉）教育发展基金会
357,哈尔滨师范大学教育发展基金会
358,山东省中国海洋大学教育基金会
359,黑龙江大学教育发展基金会
360,黑龙江省体育发展基金会
361,安徽韩再芬黄梅艺术基金会
362,长安大学教育基金会
363,甘肃妇女儿童发展基金会
364,青海妇女儿童发展基金会
365,江汉大学教育发展基金会
366,北京中国国家博物馆事业发展基金会
367,北京金融街慈善基金会
368,苏州公安大病特困救助基金会
369,连云港正大天晴爱心基金会
372,长春工程学院教育基金会
373,石家庄市志愿服务基金会
374,北京华彬文化基金会
375,北京爱它动物保护公益基金会
376,浙江大学宁波理工学院教育发展基金会
377,中南大学教育基金会
378,云南华商公益基金会
379,北京中央音乐学院教育基金会
380,云南君仁博爱基金会
381,广东省方圆公益基金会
382,广东省保利地产和谐文化基金会
384,河北石家庄二中教育发展基金会
385,温州市实验中学教育发展基金会
386,浙江泰隆慈善基金会
387,浙江省革命老区发展基金会
388,吴江盛虹爱心基金会
389,苏州和合文化基金会
390,广东省山海源慈善基金会
391,宁夏麦丽燕基金会
392,台州市老年事业发展基金会
393,江西师范大学教育发展基金会
394,亿利公益基金会
395,永恒慈善基金会
396,河南大学教育发展基金会
399,淮阴工学院教育发展基金会
400,广东省执信教育发展基金会
401,广东省广州中医药大学教育发展基金会
402,江苏省扬州中学教育发展基金会
404,青岛大学教育发展基金会
405,首都师范大学教育基金会
406,四川省体育基金会
407,四川桃花源生态保护基金会
408,四川资阳五月阳光教育基金会
409,福建省泉州第五中学教育基金会
410,湖北大学教育发展基金会
411,浙江千训爱心慈善基金会
412,呼伦贝尔市扶贫基金会
413,上海仁德基金会
414,吉林省康乃尔公益基金会
415,陕西省青年创业就业基金会
416,上海明德公益基金会
418,广东省华商慈善基金会
419,广东省依依关爱儿童基金会
421,重庆西南大学教育基金会
422,甘肃省兰州市城关区文化产业发展基金会
423,贵州省同心光彩事业基金会
424,湖南省宁乡一中教育基金会
425,云南省关心下一代基金会
428,大连市妇女儿童发展基金会
429,江苏元林慈善基金会
430,北京中金公益基金会
431,深圳市雅昌艺术基金会
433,甘肃兴华青少年助学基金会
434,辽宁省辽宁大学教育基金会
435,内蒙古乌拉特后旗盛安爱心济困基金会
436,东台市阳光助残基金会
437,北京启明星辰慈善公益基金会
439,东风公益基金会
441,温州大学教育发展基金会
442,湖北工业大学教育发展基金会
443,广东省潮商公益基金会
444,河北省佛教慈善基金会
445,昆山市党员关爱暨帮扶困难群众基金会
447,深圳市红树林湿地保护基金会
448,深圳市TCL公益基金会
449,青海省玉树州困难职工帮扶基金会
450,深圳市朱树豪纪念慈善基金会
451,鲁迅文化基金会
452,中国海油海洋环境与生态保护公益基金会
453,宁波诺丁汉大学教育发展基金会
455,广西民族大学教育基金会
456,增爱公益基金会
457,思利及人公益基金会
458,北京电影学院教育基金会
459,上海汤臣慈善基金会
460,石河子大学教育基金会
461,新疆维吾尔自治区新勇教育基金会
462,安徽黄山公益基金会
463,北海天宁慈善基金会
465,北京怡海公益基金会
466,云南省妇女儿童发展基金会
467,榆林学院教育发展基金会
468,武汉市社会组织发展基金会
469,浙江青田之家公益基金会
470,宁夏回族自治区关心下一代基金会
472,广东省广雅教育发展基金会
473,中兴通讯公益基金会
474,福建省同心慈善基金会
475,上海海事大学教育发展基金会
476,上海医学创新发展基金会
477,深圳市欣旺达慈善基金会
478,河南省华夏历史文明传承创新基金会
479,吉林省体育事业发展基金会
480,安徽省体育事业发展基金会
481,江苏言恭达文化基金会
483,北京中国青年政治学院教育基金会
484,山东省友芳公益基金会
485,山东英才学院教育发展基金会
486,青岛农业大学教育发展基金会
487,长沙市体育发展基金会
488,广东省崇善乐慈善基金会
489,广东省财新公益基金会
490,重庆市武隆县扶贫基金会
491,广东省鸿发慈善基金会
492,广西壹方慈善基金会
493,北京健康长城公益基金会
494,广东省谢汉才慈善基金会
495,深圳市绿色低碳发展基金会
496,安徽李恩三慈善基金会
497,北京联想控股公益基金会
498,福建省人口福利基金会
499,福建省正荣公益基金会
500,广东省尚东公益基金会
501,顺丰公益基金会
502,重庆大学教育发展基金会
503,兰州大学教育发展基金会
504,江西省体育发展基金会
505,资阳市关心下一代基金会
506,雅安市关心下一代基金会
507,江苏国信企业发展研究基金会
508,北京凌盛爱心公益基金会
509,北京语言大学教育基金会
510,北京永青农村发展基金会
511,河南省福兴儿童公益基金会
512,山东省普觉公益基金会
513,山东省体育基金会
514,广东省一心公益基金会
515,北京市永源公益基金会
516,广东省明德幸福文化教育基金会
517,攀枝花市关心下一代基金会
518,广西吕贻标爱心基金会
519,重庆光彩事业基金会
520,安徽道德建设基金会
521,安徽金牛公益基金会
522,济南大学教育发展基金会
523,常州宝林慈善基金会
524,重庆市青年志愿服务基金会
525,浙江省北京师范大学南湖附属学校教育基金会
526,西安科技大学教育基金会
527,河北省妇女儿童发展基金会
528,绵阳市关心下一代基金会
529,深圳市精锐教育基金会
530,北京永真公益基金会
531,北京萤火虫爱心公益基金会
532,广东省丹姿慈善基金会
533,郑州市嵩山文明研究基金会
534,广东省南方阅读公益基金会
535,苏州明德公益基金会
536,浙江中国计量学院教育基金会
537,广东省慧灵智障人士扶助基金会
538,新疆生产建设兵团青年创业增收基金会
539,杭州市公羊会公益基金会
540,宁波市海曙区公益组织发展基金会
541,遂宁市关心下一代基金会
542,西昌市关心下一代基金会
543,凉山州关心下一代基金会
544,山西省妇女儿童发展基金会
545,深圳市同心慈善基金会
546,北京彩虹公益基金会
547,深圳市荣超公益基金会
548,北京天使妈妈慈善基金会
549,海南省残疾人基金会
550,北京三一公益基金会
551,广东省何享健慈善基金会
552,南昌市青少年发展基金会
553,南昌市汇仁教育基金会
554,浙江省体育基金会
555,北京达理公益基金会
556,上海大学教育发展基金会
557,上海诺亚公益基金会
558,泸州市关心下一代基金会
559,浙江西子慈善基金会
560,泉州向善救助基金会
561,武汉市石门峰慈善基金会
562,浙江馥莉慈善基金会
563,浙江省杭州宋都公益基金会
564,上海瑞华慈善基金会
565,广东省烛光教育发展基金会
566,深圳市石门坎教育公益基金会
567,武汉善之源公益基金会
568,洪泽县爱心助学基金会
569,上海荣昶公益基金会
570,四川喜马拉雅慈善基金会
571,浙江天景生公益基金会
572,北京绿色阳光环保公益基金会
573,广州农商银行太阳公益基金会
574,湖南践行国学公益基金会
575,德阳市关心下一代基金会
576,北京京东公益基金会
577,四川省索玛慈善基金会
578,福建省安发高益槐科技教育发展基金会
579,广东省同心圆慈善基金会
580,北京阳光未来艺术教育基金会
581,北京市光明慈善基金会
582,上海叔同深渊科学技术发展基金会
583,上海至美公益基金会
584,上海王正国创伤医学发展基金会
585,上海科技大学教育发展基金会
586,上海乐三兰馨教育发展基金会
587,浙江马云公益基金会
588,武汉大学姚梅镇法学基金会
589,巨人慈善基金会
590,浙江湖畔大学创业研究基金会
591,黑龙江省哈尔滨妇女儿童基金会
592,厦门外国语学校教育基金会
593,上海觉群文教基金会
594,北京老牛兄妹公益基金会
595,宁波市善园公益基金会
596,中天爱心慈善基金会
597,武汉科技大学教育发展基金会
598,北京白求恩公益基金会
599,北京市银杏公益基金会
600,北京麦田慈善基金会
601,内蒙古光彩事业基金会
602,晋江市安海中心小学种胜教育基金会
603,东润公益基金会
604,广东省广铝公益基金会
