,Num_comment,Num_follower,Num_following,Num_forward,Num_good,Num_original_post,Num_post,User_id,User_name
29,3039,14400,1592,13436,1626,766,5308,1832740650,联劝公益
30,14,41,48,27,6,9,11,3784292687,拇指公益联盟
31,0,0,0,0,0,0,0,1005055743481550,
32,556,106329,542,1220,384,1539,1710,2086535315,中国鹤童官方V博
33,4,65,48,5,1,24,40,5130995356,天津市妇女儿童发展基金会
34,610,2262,164,2122,152,149,447,3116716801,万科公益基金会
35,111,840,158,477,279,154,297,2623969447,深圳市青少年发展基金会
36,1,10,20,3,0,56,59,5991755959,深圳市老龄事业发展基金会
37,17,350,74,71,0,18,96,2492269604,广东省志愿者事业发展基金会
38,97,556,203,462,70,211,614,2779380834,陕西妇女儿童发展基金会
39,9,113,38,16,1,32,43,3517500390,广东省妇女儿童基金会
40,330,759,219,1120,148,330,612,1972433787,重庆浙商爱心基金会
41,34,4607,303,40,36,76,296,5184927915,重庆市妇女儿童基金会
42,110,1382,51,65,10,32,45,1732043030,河南省宋庆龄基金会
43,147,1064,351,282,2,310,925,1973547807,成都市老龄事业发展基金会
44,34,800,116,32,1,68,77,2055165511,电子科技大学基金会
45,76,2345,198,194,459,168,989,2662485671,大益爱心基金会
46,2946,22836,935,8058,7710,792,3097,1764625263,绿色环境发展基金会
47,250,1457,459,1729,528,491,1844,3784070072,春晖行动
48,57,434,944,160,12,1525,1560,1885454827,康盟慈善基金会
49,3825,55769,1225,9195,14741,1734,8153,2482301881,四川青年志愿者
50,563,2754,589,1186,253,757,1482,1707651402,郑卫宁慈善基金会
51,199,6339,231,468,73,275,431,1721179890,茂华慈善基金会
52,92,657,93,136,4,105,186,2270373022,黄奕聪慈善基金会
53,1326,47505,153,8733,3478,1913,4122,2647759813,中国绿色碳汇基金会-CGCF
54,423,1192,353,855,111,865,1136,2120517563,北京京华公益基金会
55,1822,11262,405,9209,1290,464,2244,2614500270,壹基金救灾
56,2963,3653,180,22641,161,67,363,2133144901,百度基金会
57,11508,70921,671,53945,17053,941,6391,1921356771,阿拉善SEE公益机构
58,3006,10868,941,14647,433,934,2910,1998802433,儿童希望救助基金会
59,95,272,422,104,3,634,681,2624206052,长安大学教育基金会
60,51,398,95,98,74,439,1096,3442377620,志愿石家庄
61,51141,117107,607,196128,56537,1550,7062,1946798710,它基金-爱及生灵
62,7,23,83,18,8,22,32,5562353036,中南大学教育基金会
63,0,14,2,0,0,0,0,3561572833,云南君仁博爱基金会
64,245,416,68,406,1,39,64,2647175183,广东省和谐文化基金会
65,0,294,128,0,1,2,4,2559095565,和合文化基金
66,2,13,27,11,3,15,26,5433835622,宁夏麦丽燕
67,562,1459,312,895,3250,1372,1939,5743389698,江西师大马克思主义学院学生会
68,11,71,39,23,5,20,34,3975557866,亿利公益基金会
69,1199,17718,1993,2619,1294,1167,3416,2091014467,首都师范大学校友会-教育基金会
70,16,128,160,31,43,616,691,5683069481,浙江千训爱心慈善基金会
71,0,53,118,0,0,0,0,2588411482,上海仁德基金会
72,325,402016,345,1102,796,1768,4076,3699191011,东风公益基金会
73,2,138,17,28,4,32,60,2684757403,河北省佛教慈善基金会
74,2263,4277,392,10791,833,902,1859,2839048620,红树林基金会
75,0,92,107,0,0,0,14,3901547430,宁波诺丁汉大学教育发展基金会
76,11,200,28,46,3,3,15,3092658847,上海汤臣慈善基金会
77,0,53,60,0,0,0,27,2901944872,天宁慈善基金会
78,0,14,52,0,0,0,1,3094289031,广东省广雅教育发展基金会_589
79,53,512,298,335,519,533,722,3220990821,同心慈善基金会
80,28,130,64,35,7,19,21,3423330810,上海海事大学教育基金会
81,18,6,46,19,0,3,3,3971557133,友芳公益基金会
82,75,219,102,146,75,170,253,3215443315,广东省崇善乐慈善基金会
83,205,663,171,734,124,236,452,3260452065,广西壹方慈善基金会
84,0,6,105,0,0,3,4,5515721780,北京健康长城公益基金会
85,36,151,58,63,113,49,60,3331078470,绿色低碳发展基金会
86,445,1247,193,868,369,497,784,3279489762,正荣公益基金会
87,74,419,280,245,57,226,418,3352534700,河南省福兴儿童公益基金会
88,0,10,4,0,0,0,0,6072428123,山东省普觉公益基金会
89,274,669,163,4326,194,993,1530,2156685060,广东省一心公益基金会
90,1953,2059,176,9884,6170,189,504,3576859332,北京市永源公益基金会
91,4,25,89,6,34,110,112,5161575664,攀枝花关心下一代
92,2,41,36,3,6,3,3,3814475486,重庆市青年志愿服务基金会
93,0,266,223,0,1,50,51,3881632317,绵阳市关工委关心下一代基金会
94,18,177,78,30,9,29,38,3812002557,永真公益基金会
95,0,2,0,0,0,0,1,5777184838,广东省丹姿慈善基金会
96,0,1,3,0,0,0,1,6056191430,慧灵心智障碍人士扶助基金会
97,848,564101,749,2970,2173,1237,3224,2760015703,青春兵团
98,22,131,111,36,12,96,107,3587925833,阳光心理健康基金会
99,102,10267,28,499,29,46,109,3079579791,北京彩虹公益基金会
100,2501,65518,1218,5837,3623,1613,7811,2214124667,天使妈妈基金会
101,50,123,51,91,47,240,246,3968028306,海南省残疾人基金会
102,102,392,107,128,143,70,110,5261638683,三一基金会
103,23,351,178,38,14,12,15,5059776328,广东省何享健慈善基金会
104,496,7809,2808,1713,514,523,889,5039965779,南青基金
105,0,138,97,15,11,8,11,6079359303,上海诺亚公益基金会
106,146,351,51,418,140,77,159,5659396855,浙江馥莉慈善基金会
107,4,12,3,4,23,60,63,5901053064,深圳市石门坎教育公益基金会
108,0,37,126,0,2,6,16,5231109082,善之源公益基金会
109,0,5,3,0,0,14,14,5262144680,喜马拉雅慈善基金会
110,0,7,30,2,0,14,15,5970923915,湖南践行国学公益基金会
111,46,58,123,100,50,103,185,5306526879,德阳市关心下一代基金会
112,721,9728,298,1492,2934,1989,4321,1496987860,四川省索玛慈善基金会
113,0,22,13,3,30,65,70,6064931926,同心圆工程
114,556,3175,158,7884,2347,164,291,5589683167,阳光未来艺术教育基金会
115,126,11677,122,6221,113,163,363,5427850035,光明慈善基金会
116,0,17,14,10,1,17,19,5829392165,至美公益基金会
117,0,2,46,0,0,0,0,5519115210,浙江湖畔大学创业研究基金会_843
118,59,677,49,188,38,330,357,2451539437,黑龙江省哈尔滨妇女儿童基金会
119,5,59,57,13,23,210,222,5517575255,觉群文教基金会
120,10,1182,137,175,20,414,490,5824654725,善园基金会
